State,Date,NumberofConfirmedCases
Perak,1/5/2020,0
Selangor,1/5/2020,24
Negeri Sembilan,1/5/2020,0
Melaka,1/5/2020,1
Johor,1/5/2020,3
Pahang,1/5/2020,3
Terengganu,1/5/2020,0
Kelantan,1/5/2020,0
Sabah,1/5/2020,0
Sarawak,1/5/2020,2
Kuala Lumpur,1/5/2020,32
Putrajaya,1/5/2020,4
Labuan,1/5/2020,0
Perlis,2/5/2020,0
Kedah,2/5/2020,0
Pulau Pinang,2/5/2020,0
Perak,2/5/2020,0
Selangor,2/5/2020,63
Negeri Sembilan,2/5/2020,8
Melaka,2/5/2020,2
Johor,2/5/2020,1
Pahang,2/5/2020,8
Terengganu,2/5/2020,0
Kelantan,2/5/2020,0
Sabah,2/5/2020,0
Sarawak,2/5/2020,9
Kuala Lumpur,2/5/2020,14
Putrajaya,2/5/2020,0
Labuan,2/5/2020,0
Perlis,3/5/2020,0
Kedah,3/5/2020,0
Pulau Pinang,3/5/2020,0
Perak,3/5/2020,0
Selangor,3/5/2020,11
Negeri Sembilan,3/5/2020,71
Melaka,3/5/2020,3
Johor,3/5/2020,0
Pahang,3/5/2020,0
Terengganu,3/5/2020,0
Kelantan,3/5/2020,0
Sabah,3/5/2020,1
Sarawak,3/5/2020,5
Kuala Lumpur,3/5/2020,30
Putrajaya,3/5/2020,1
Labuan,3/5/2020,0
Perlis,4/5/2020,0
Kedah,4/5/2020,0
Pulau Pinang,4/5/2020,0
Perak,4/5/2020,0
Selangor,4/5/2020,21
Negeri Sembilan,4/5/2020,6
Melaka,4/5/2020,3
Johor,4/5/2020,0
Pahang,4/5/2020,0
Terengganu,4/5/2020,0
Kelantan,4/5/2020,0
Sabah,4/5/2020,0
Sarawak,4/5/2020,0
Kuala Lumpur,4/5/2020,25
Putrajaya,4/5/2020,0
Labuan,4/5/2020,0
Perlis,5/5/2020,0
Kedah,5/5/2020,0
Pulau Pinang,5/5/2020,0
Perak,5/5/2020,0
Selangor,5/5/2020,5
Negeri Sembilan,5/5/2020,0
Melaka,5/5/2020,0
Johor,5/5/2020,0
Pahang,5/5/2020,0
Terengganu,5/5/2020,0
Kelantan,5/5/2020,0
Sabah,5/5/2020,0
Sarawak,5/5/2020,2
Kuala Lumpur,5/5/2020,23
Putrajaya,5/5/2020,0
Labuan,5/5/2020,0
Perlis,6/5/2020,0
Kedah,6/5/2020,0
Pulau Pinang,6/5/2020,0
Perak,6/5/2020,0
Selangor,6/5/2020,9
Negeri Sembilan,6/5/2020,2
Melaka,6/5/2020,1
Johor,6/5/2020,0
Pahang,6/5/2020,0
Terengganu,6/5/2020,0
Kelantan,6/5/2020,0
Sabah,6/5/2020,0
Sarawak,6/5/2020,11
Kuala Lumpur,6/5/2020,22
Putrajaya,6/5/2020,0
Labuan,6/5/2020,0
Perlis,7/5/2020,0
Kedah,7/5/2020,0
Pulau Pinang,7/5/2020,0
Perak,7/5/2020,0
Selangor,7/5/2020,16
Negeri Sembilan,7/5/2020,0
Melaka,7/5/2020,1
Johor,7/5/2020,0
Pahang,7/5/2020,0
Terengganu,7/5/2020,0
Kelantan,7/5/2020,0
Sabah,7/5/2020,1
Sarawak,7/5/2020,1
Kuala Lumpur,7/5/2020,20
Putrajaya,7/5/2020,0
Labuan,7/5/2020,0
Perlis,8/5/2020,0
Kedah,8/5/2020,0
Pulau Pinang,8/5/2020,0
Perak,8/5/2020,0
Selangor,8/5/2020,6
Negeri Sembilan,8/5/2020,53
Melaka,8/5/2020,0
Johor,8/5/2020,0
Pahang,8/5/2020,1
Terengganu,8/5/2020,0
Kelantan,8/5/2020,0
Sabah,8/5/2020,0
Sarawak,8/5/2020,1
Kuala Lumpur,8/5/2020,6
Putrajaya,8/5/2020,1
Labuan,8/5/2020,0
Perlis,9/5/2020,0
Kedah,9/5/2020,0
Pulau Pinang,9/5/2020,0
Perak,9/5/2020,0
Selangor,9/5/2020,10
Negeri Sembilan,9/5/2020,28
Melaka,9/5/2020,1
Johor,9/5/2020,0
Pahang,9/5/2020,0
Terengganu,9/5/2020,0
Kelantan,9/5/2020,0
Sabah,9/5/2020,0
Sarawak,9/5/2020,4
Kuala Lumpur,9/5/2020,10
Putrajaya,9/5/2020,1
Labuan,9/5/2020,0
Perlis,10/5/2020,0
Kedah,10/5/2020,0
Pulau Pinang,10/5/2020,0
Perak,10/5/2020,2
Selangor,10/5/2020,8
Negeri Sembilan,10/5/2020,45
Melaka,10/5/2020,0
Johor,10/5/2020,0
Pahang,10/5/2020,2
Terengganu,10/5/2020,0
Kelantan,10/5/2020,0
Sabah,10/5/2020,0
Sarawak,10/5/2020,1
Kuala Lumpur,10/5/2020,9
Putrajaya,10/5/2020,0
Labuan,10/5/2020,0
Perlis,11/5/2020,0
Kedah,11/5/2020,0
Pulau Pinang,11/5/2020,0
Perak,11/5/2020,0
Selangor,11/5/2020,3
Negeri Sembilan,11/5/2020,16
Melaka,11/5/2020,1
Johor,11/5/2020,0
Pahang,11/5/2020,4
Terengganu,11/5/2020,0
Kelantan,11/5/2020,0
Sabah,11/5/2020,10
Sarawak,11/5/2020,0
Kuala Lumpur,11/5/2020,35
Putrajaya,11/5/2020,1
Labuan,11/5/2020,0
Perlis,12/5/2020,0
Kedah,12/5/2020,0
Pulau Pinang,12/5/2020,0
Perak,12/5/2020,0
Selangor,12/5/2020,3
Negeri Sembilan,12/5/2020,0
Melaka,12/5/2020,0
Johor,12/5/2020,0
Pahang,12/5/2020,0
Terengganu,12/5/2020,0
Kelantan,12/5/2020,0
Sabah,12/5/2020,1
Sarawak,12/5/2020,0
Kuala Lumpur,12/5/2020,12
Putrajaya,12/5/2020,0
Labuan,12/5/2020,0
Perlis,13/5/2020,0
Kedah,13/5/2020,0
Pulau Pinang,13/5/2020,0
Perak,13/5/2020,0
Selangor,13/5/2020,2
Negeri Sembilan,13/5/2020,22
Melaka,13/5/2020,2
Johor,13/5/2020,0
Pahang,13/5/2020,3
Terengganu,13/5/2020,0
Kelantan,13/5/2020,0
Sabah,13/5/2020,2
Sarawak,13/5/2020,1
Kuala Lumpur,13/5/2020,5
Putrajaya,13/5/2020,0
Labuan,13/5/2020,0
Perlis,14/5/2020,0
Kedah,14/5/2020,0
Pulau Pinang,14/5/2020,0
Perak,14/5/2020,0
Selangor,14/5/2020,1
Negeri Sembilan,14/5/2020,11
Melaka,14/5/2020,1
Johor,14/5/2020,1
Pahang,14/5/2020,8
Terengganu,14/5/2020,0
Kelantan,14/5/2020,0
Sabah,14/5/2020,0
Sarawak,14/5/2020,0
Kuala Lumpur,14/5/2020,18
Putrajaya,14/5/2020,0
Labuan,14/5/2020,0
Perlis,15/5/2020,0
Kedah,15/5/2020,0
Pulau Pinang,15/5/2020,0
Perak,15/5/2020,0
Selangor,15/5/2020,14
Negeri Sembilan,15/5/2020,1
Melaka,15/5/2020,1
Johor,15/5/2020,0
Pahang,15/5/2020,6
Terengganu,15/5/2020,0
Kelantan,15/5/2020,0
Sabah,15/5/2020,0
Sarawak,15/5/2020,0
Kuala Lumpur,15/5/2020,15
Putrajaya,15/5/2020,0
Labuan,15/5/2020,0
Perlis,16/5/2020,0
Kedah,16/5/2020,0
Pulau Pinang,16/5/2020,0
Perak,16/5/2020,0
Selangor,16/5/2020,1
Negeri Sembilan,16/5/2020,0
Melaka,16/5/2020,0
Johor,16/5/2020,0
Pahang,16/5/2020,7
Terengganu,16/5/2020,0
Kelantan,16/5/2020,0
Sabah,16/5/2020,1
